Enabled,ID,Category,Name,Type of risk,Severity
TRUE,TRM1574,Malware,Address previously transacted with Malware,Counterparty,High
TRUE,TRM1575,Imposter Site or Service,Address previously transacted with Imposter Site or Service,Counterparty,High
TRUE,TRM1576,ICO Scam,Address previously transacted with ICO Scam,Counterparty,High
TRUE,TRM1577,Politically Exposed Person,Address previously transacted with Politically Exposed Person,Counterparty,Medium
TRUE,TRM1578,Child Sexual Abuse Material (CSAM) Scam,Address previously transacted with Child Sexual Abuse Material (CSAM) Scam,Counterparty,Severe
TRUE,TRM1580,Investment Fraud,Address previously transacted with Investment Fraud,Counterparty,High
TRUE,TRM1581,Decentralized Investment Fraud,Address previously transacted with Decentralized Investment Fraud,Counterparty,Medium
TRUE,TRM3078,Mining,Address previously transacted with Mining,Counterparty,Low
TRUE,TRM4074,Special Measures,Address previously transacted with Special Measures,Counterparty,Severe
TRUE,TRM4077,Blocklisted,Address previously transacted with Blocklisted,Counterparty,High
TRUE,TRM4080,Community Complaint,Address previously transacted with Community Complaint,Counterparty,Low
TRUE,TRM2201,Peeling Chain,Involved in a Peeling Chain,Behavioral,Medium
TRUE,TRM2202,Binary Tree,Part of a Binary Tree transaction,Behavioral,Medium
FALSE,TRM2203,Mass Registration,Involved in Mass Registration,Behavioral,Medium
TRUE,TRM2204,CoinJoin Transactions,Involved in a CoinJoin-like transaction,Behavioral,Medium
FALSE,TRM2206,Web Flow,Part of a Web Flow transaction,Behavioral,Medium
TRUE,TRM2207,Extortion with Common Destination,Part of a Extortion with Common Destination transaction,Behavioral,Medium
TRUE,TRM2208,Peeling Chain with Common Destination,Part of a Peeling Chain with Common Destination transaction,Behavioral,Medium
TRUE,TRM2209,Graphton,"Part of a unique \trail\"" of transactions""",Behavioral,Medium
