"Enabled","ID","Category","Name","Type of risk","Severity"
"true","TRM4064","ICO Scam","Address has indirect exposure to ICO Scam","Indirect","Medium"
"true","TRM4065","Mining","Address has indirect exposure to Mining","Indirect","Low"
"true","TRM4066","Mixer","Address has indirect exposure to Mixer","Indirect","Medium"
"true","TRM4068","Politically Exposed Person","Address has indirect exposure to Politically Exposed Person","Indirect","Low"
"true","TRM4069","Sanctions","Address has indirect exposure to Sanctions","Indirect","High"
"true","TRM4070","Child Sexual Abuse Material (CSAM) Scam","Address has indirect exposure to Child Sexual Abuse Material (CSAM) Scam","Indirect","High"
"true","TRM4071","Investment Fraud","Address has indirect exposure to Investment Fraud","Indirect","Medium"
"true","TRM4072","Decentralized Investment Fraud","Address has indirect exposure to Decentralized Investment Fraud","Indirect","Medium"
"true","TRM4073","Special Measures","Address associated with Special Measures","Ownership","Severe"
"true","TRM4074","Special Measures","Address previously transacted with Special Measures","Counterparty","Severe"
"true","TRM4075","Special Measures","Address has indirect exposure to Special Measures","Indirect","High"
"true","TRM4076","Blocklisted","Address associated with Blocklisted","Ownership","High"
"true","TRM4077","Blocklisted","Address previously transacted with Blocklisted","Counterparty","High"
"true","TRM4078","Blocklisted","Address has indirect exposure to Blocklisted","Indirect","Medium"
"true","TRM4079","Community Complaint","Address associated with Community Complaint","Ownership","High"
"true","TRM4080","Community Complaint","Address previously transacted with Community Complaint","Counterparty","Medium"
"true","TRM4081","Community Complaint","Address has indirect exposure to Community Complaint","Indirect","Medium"
